ccodecow,year,wdi_fossil,edgar_pm25,renew_output,wdi_co2,env_index_gls
93,1985,-.5122811572024678,-.0841670893123382,.3594346844253887,-.8799837110726494,.60727946271991
93,1986,-.3644312567293649,-.100124781579262,.2889758756712493,-.8380656257528575,.5646705555670231
93,1987,-.3684088882201738,-.089955358335762,.3700368023699728,-.8158742938695165,.595018397435264
93,1988,-.4092149145481667,-.1048892985934485,.3633408709354104,-.8587633824034852,.6181183994162499
93,1989,-.5595857257186824,-.0948093670532795,.493298229131251,-1.012371284935068,.7436880886080602
93,1990,-.5948551837031922,-.0731988551396178,.7810664307513356,-.8249003767697646,.8179318854399502
93,1991,-.616860414040304,-.0558825764079586,.7484684777706555,-.9270212274240505,.8271104885067637
93,1992,-.510630720791744,-.0596390097954946,.4743706848560627,-.868789645716302,.6513226561646301
93,1993,-.4965983956585512,-.0546088721290755,.6527694439144895,-.8925613555862172,.7600367105621436
93,1994,-.4322752701694185,-.0444272639583171,.4009725709812446,-.8624796537261278,.5974188996759598
93,1995,-.3727819083718317,-.0186826865597251,.3123542086983928,-.8340867355710835,.5179953866101221
93,1996,-.3605986571282407,.0041938281937469,.2551432768933791,-.8279165688305163,.4665297231921176
93,1997,-.3290899460709026,.0172174257935582,.2038410715873345,-.7972814280855371,.4161627751465368
93,1998,-.1915226862525264,.017296550265845,-.2059590165101516,-.7667296174629313,.1713777553633512
93,1999,-.1090497616544737,.0158526742570914,-.2197654538889703,-.7471910549460695,.1584550688385758
93,2000,-.1314154242826126,.0292274653320158,-.5064583048161467,-.7371725022182916,-.0203620402038191
93,2001,-.0678553868863689,.0099421921531436,-.4993495281080045,-.7192098152769575,-.0082641913073668
93,2002,-.1128464953482458,.0336818399134077,-.3012930957877901,-.717232833296088,.0867840573604486
93,2003,-.0733791548628794,.0308853327921297,-.2287101812631767,-.6800237201944355,.116487674883347
93,2004,-.0892617458278535,.0333979334304097,-.2095499053789176,-.6852659503458634,.1274493463642735
93,2005,-.0796221272012349,.035522168293092,-.0067177653187267,-.7042528101420304,.2502798019985346
93,2006,-.0748574978774873,.0271608402688403,-.1410085849273403,-.6940504992253365,.175125292050942
93,2007,-.0438635411278564,.0332138634092973,-.1718457291906407,-.6859279618214249,.1504934091637141
93,2008,-.1175780167997699,.0325246138612448,.0205658637847275,-.7129701897625846,.2707680863284793
93,2009,-.0949971752712792,.0467574951336092,-.1153133192898032,-.7108158070759887,.1821152139107136
93,2010,-.1069305126064533,.057840219024809,.0632093747122908,-.713891835334859,.2777372760609534
93,2011,-.0598103787131503,.0761849375285815,-.0251370975620723,-.6837689045974231,.2028125036012217
93,2012,-.2074398877245241,.1080829489433484,.2321965278097781,-.7183899833630261,.3384825235001937
93,2013,-.2845540487808141,.1118453511347755,.5153153266931115,-.744963902569949,.507433759674591
93,2014,-.2793965974806305,.1252077201581486,.5800604149442029,-.7247025033169264,.5270864843678623
93,2015,-.2044408230326653,.1244861340857789,.4495328859562296,-.6659829390408966,.430758495129943
94,1970,-.0581589901461716,-.5366105658466694,2.025544684849627,-.7798771840986196,1.858654055170123
94,1971,.2092924708315312,-.5402022532100206,1.951938859566841,-.6966686826087024,1.791468986268236
94,1972,.213214831780604,-.5134514037442932,1.863873481885993,-.6360021446319792,1.697550678757509
94,1973,.2842128122290757,-.4979400419131303,1.879198735480232,-.5679708734548882,1.669605438173602
94,1974,.2347065291715927,-.4986555444998311,1.896324032603459,-.620602616770755,1.69991300686028
94,1975,.2877286314074127,-.4767816622803049,1.878835625382168,-.5977885261559025,1.666226497078586
94,1976,.2414154492906442,-.4717573432906489,1.912818550539186,-.5992069362972536,1.681722201869161
94,1977,.3937276072793582,-.4483353988625397,1.627950910559292,-.4838320959262748,1.458446584808784
94,1978,.4107282330875435,-.4291975586702503,1.783132938637697,-.4314093940650295,1.513342070569234
94,1979,.3932922059398672,-.4166437188917037,1.736444519376557,-.4758530293391395,1.494895119686781
94,1980,.2701598967069228,-.4261247175648978,1.813465783315096,-.5656963307423469,1.579175107752546
94,1981,.1488010355485019,-.4226939533610808,1.922578975844381,-.630353038057642,1.662625561305957
94,1982,.117237584271955,-.4381562695996107,1.926348263208884,-.6841119971581185,1.696659499303528
94,1983,.0608413695771008,-.4186927200358508,1.993036343931084,-.6934160612255549,1.723538319801589
94,1984,.0369052567069235,-.3821888256191675,2.050398412865534,-.7312058535540918,1.744930587165198
94,1985,.0649409056163787,-.3847649558477355,1.947001531743233,-.6833833472266516,1.668861249146173
94,1986,.071715017984327,-.391011824893853,1.9668461555463,-.6240396590781525,1.661182145383696
94,1987,.1095820798644127,-.396915401844575,1.883074415554446,-.6078530072903637,1.611623111209475
94,1988,.1054872339859391,-.382664104900459,1.875282361603608,-.5867038333633511,1.588400356419759
94,1989,.2119485576733201,-.3963550898810253,1.871405824850638,-.5949548270537133,1.601575439274662
94,1990,.2156737397258239,-.3723724757252879,1.846102421722879,-.6126656569334007,1.577009761546137
94,1991,.2402446096872859,-.350443234230117,1.768218178740741,-.5596276817197569,1.49588920693384
94,1992,.2226415408015548,-.4084004088063188,1.413674890056341,-.5001680164372295,1.309533044412511
94,1993,.2172510706734341,-.3985015787591397,1.622336235011747,-.4906087155565942,1.418417004650985
94,1994,.1996425998432176,-.3827471515261406,1.62893185223735,-.3230724820965994,1.343620889851345
94,1995,.2370810403043799,-.3574553003967293,1.411068017523803,-.3920468104389274,1.228665128805934
94,1996,.1807214730193655,-.3578370559085199,1.645590836519862,-.423150223441338,1.37491629615564
94,1997,.2269262071820996,-.4345729362331681,1.829380226607524,-.406966343538822,1.53003547005473
94,1998,.3605734994230407,-.4694618093528746,1.679188499286633,-.3801636952571597,1.460899136333835
94,1999,.2849141896376755,-.4658669628109223,1.855733813556856,-.3692558516477009,1.553786503762686
